               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  19,            0.078873,            0.036276,            0.012281,             0.50974,                 0.5,             0.60678,             0.27045,            0.068678,            0.026434,           0.0072813,            0.063433,           0.0024328,           0.0024328
                  20,            0.076844,            0.045448,            0.010788,             0.51857,                 0.5,             0.62526,             0.26062,            0.066297,            0.026045,           0.0063629,            0.061476,           0.0024764,           0.0024764
                  21,            0.075211,            0.037023,            0.011454,             0.58257,             0.58114,             0.70386,             0.28802,            0.065987,            0.025046,           0.0056159,            0.059512,           0.0025121,           0.0025121
                  22,            0.070291,            0.041088,            0.010067,             0.66748,             0.56584,             0.73802,             0.32382,            0.066295,            0.023933,           0.0048395,             0.05754,           0.0025398,           0.0025398
                  23,            0.071603,            0.036859,           0.0085987,             0.68985,             0.74163,             0.75795,             0.31987,            0.061842,            0.023397,           0.0041964,             0.05556,           0.0025596,           0.0025596
                  24,            0.065791,            0.036745,           0.0067477,             0.60276,             0.66837,             0.68944,             0.28244,            0.064287,            0.021992,           0.0036766,            0.053572,           0.0025715,           0.0025715
                  25,            0.067951,            0.033402,           0.0073684,             0.67198,             0.58333,             0.64915,             0.28008,            0.069212,            0.021323,           0.0032411,            0.051576,           0.0025755,           0.0025755
                  26,            0.072351,            0.030448,           0.0074501,             0.46247,                0.75,              0.6229,             0.31843,            0.061806,            0.021062,            0.002993,            0.049572,           0.0025716,           0.0025716
                  27,            0.067167,             0.03633,           0.0071678,             0.46247,                0.75,              0.6229,             0.31843,            0.061806,            0.021062,            0.002993,             0.04756,           0.0025597,           0.0025597
                  28,            0.063828,            0.023325,           0.0054658,             0.81378,             0.60043,             0.79519,             0.39379,            0.065521,            0.020042,           0.0027682,             0.04554,           0.0025399,           0.0025399
                  29,            0.072193,            0.027217,           0.0089779,             0.73784,             0.66667,             0.75175,             0.34333,            0.066813,            0.019444,           0.0025489,            0.043512,           0.0025122,           0.0025122
