               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11852,            0.030308,                   0,           0.0011111,             0.16667,           0.0012857,          0.00059995,            0.088656,            0.026242,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.11845,             0.02914,                   0,           0.0011111,             0.16667,           0.0013472,          0.00062453,            0.087869,             0.02596,                   0,            0.097299,          0.00029851,          0.00029851
                   2,             0.12314,            0.030411,                   0,           0.0022222,             0.33333,           0.0026942,          0.00093429,            0.085968,            0.025593,                   0,            0.095495,          0.00049505,          0.00049505
                   3,             0.12377,            0.029473,                   0,           0.0022222,             0.33333,           0.0029637,          0.00094969,            0.083398,            0.025068,                   0,             0.09369,           0.0006896,           0.0006896
                   4,              0.1238,            0.029047,                   0,           0.0022222,             0.33333,           0.0041374,            0.001594,            0.079578,            0.024575,                   0,            0.091882,          0.00088218,          0.00088218
                   5,             0.11485,            0.028321,                   0,           0.0035175,                 0.5,            0.016195,           0.0051398,            0.072739,            0.024482,                   0,            0.090073,           0.0010728,           0.0010728
                   6,            0.099676,            0.032755,                   0,           0.0035893,                 0.5,            0.021454,           0.0093975,            0.066398,            0.024138,                   0,            0.088261,           0.0012614,           0.0012614
                   7,            0.083026,            0.028872,                   0,            0.051507,                 0.5,             0.19975,             0.06851,            0.059279,            0.023802,                   0,            0.086448,            0.001448,            0.001448
                   8,            0.071562,            0.026914,                   0,            0.083664,             0.66667,              0.1411,            0.049087,            0.053917,            0.023691,                   0,            0.084633,           0.0016327,           0.0016327
                   9,            0.072443,            0.024753,                   0,             0.10914,                 0.5,             0.15355,            0.051361,            0.050728,            0.023358,                   0,            0.082815,           0.0018154,           0.0018154
                  10,            0.099119,            0.027315,                   0,             0.16956,             0.33333,             0.17421,            0.056679,            0.049187,            0.023038,                   0,            0.080996,            0.001996,            0.001996
                  11,            0.081168,            0.029506,                   0,             0.29795,             0.33333,             0.21406,            0.076284,            0.046711,            0.022728,                   0,            0.079175,           0.0021748,           0.0021748
                  12,            0.081346,            0.029633,                   0,             0.45351,             0.33333,             0.27014,             0.09797,            0.043949,            0.022273,                   0,            0.077352,           0.0023515,           0.0023515
