               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.022321,            0.010768,                   0,             0.97543,             0.94538,             0.98699,             0.71149,            0.018447,           0.0035669,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.021994,            0.010276,                   0,             0.97339,             0.95238,             0.99001,             0.73917,             0.01676,           0.0033638,                   0,            0.002476,            0.002476,            0.002476
                  40,             0.02141,              0.0112,                   0,                   1,             0.94675,             0.99157,             0.72653,            0.017556,           0.0034684,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.023438,            0.011061,                   0,                   1,             0.94741,             0.99008,             0.74057,            0.014609,           0.0035123,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.022665,             0.01092,                   0,                   1,             0.92822,             0.98538,             0.75587,            0.015134,            0.003736,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.019739,            0.010419,                   0,                   1,             0.92506,             0.98481,             0.76937,            0.014949,           0.0038071,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.019504,           0.0098829,                   0,                   1,             0.90362,             0.98101,             0.77938,              0.0149,           0.0037395,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.020117,           0.0090776,                   0,                   1,             0.90109,             0.97859,             0.77685,             0.01504,           0.0036353,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.018841,            0.010297,                   0,             0.97486,             0.92324,              0.9788,             0.77989,            0.013772,           0.0035483,                   0,             0.00109,             0.00109,             0.00109
                  47,             0.01669,           0.0095467,                   0,             0.97487,             0.92381,               0.979,             0.79016,            0.013395,           0.0034176,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.016503,           0.0077727,                   0,             0.97486,             0.92351,             0.97925,             0.79874,            0.013036,            0.003392,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.018293,           0.0093814,                   0,                   1,             0.90002,             0.98095,             0.79923,            0.012978,           0.0034041,                   0,            0.000496,            0.000496,            0.000496
                   0,             0.11664,            0.057507,            0.067829,           0.0027144,             0.16729,           0.0033488,           0.0010281,             0.10006,            0.040802,            0.065392,              0.0829,              0.0019,              0.0019
                   1,            0.096333,            0.069798,            0.061275,              0.2728,             0.04686,            0.069402,            0.025879,            0.079823,             0.03997,            0.056747,            0.064823,           0.0038228,           0.0038228
                   2,            0.079422,            0.060402,            0.054386,            0.091154,             0.28983,             0.07301,            0.023158,            0.080961,            0.054581,            0.048756,            0.046666,           0.0056664,           0.0056664
                   3,            0.075233,            0.048541,            0.050244,              0.3246,             0.31414,             0.15822,            0.058284,             0.07692,            0.032986,            0.046326,            0.028431,           0.0074307,           0.0074307
                   4,            0.076931,            0.047373,            0.047986,             0.22822,             0.40274,             0.20554,             0.07253,            0.073639,            0.026299,            0.043968,            0.010116,           0.0091159,           0.0091159
                   5,            0.072866,            0.042055,            0.045558,             0.34322,             0.39465,               0.311,             0.13498,            0.061864,            0.023312,            0.041142,             0.00901,             0.00901,             0.00901
                   6,            0.067593,            0.041935,            0.043385,             0.40774,             0.43027,             0.29113,             0.12525,            0.066585,            0.022915,             0.03899,             0.00901,             0.00901,             0.00901
                   7,            0.062032,            0.040054,            0.041941,             0.51945,              0.4867,             0.38484,             0.14794,            0.055055,             0.02351,            0.037048,            0.008812,            0.008812,            0.008812
                   8,            0.057998,            0.040351,            0.039279,             0.36746,             0.57066,              0.3537,             0.16542,            0.060306,            0.023369,            0.034805,            0.008614,            0.008614,            0.008614
                   9,            0.054933,            0.037335,            0.037227,             0.61399,             0.47688,             0.52347,             0.24105,            0.048671,            0.020712,             0.03294,            0.008416,            0.008416,            0.008416
                  10,            0.051618,            0.036745,            0.035575,             0.61088,             0.52501,              0.5492,             0.27051,            0.050838,            0.019873,            0.031174,            0.008218,            0.008218,            0.008218
                  11,            0.050603,            0.037947,            0.033612,             0.82092,             0.53558,             0.65796,             0.33016,            0.040959,            0.018871,            0.029442,             0.00802,             0.00802,             0.00802
                  12,            0.047981,             0.03723,            0.031045,             0.68369,             0.56737,             0.60163,             0.28078,            0.047682,            0.018538,            0.027845,            0.007822,            0.007822,            0.007822
                  13,            0.047863,            0.036274,            0.028887,             0.84366,             0.57478,             0.72272,             0.38535,            0.041752,            0.018475,            0.026218,            0.007624,            0.007624,            0.007624
                  14,            0.044874,            0.034933,            0.027021,             0.65019,             0.60059,             0.63609,             0.34853,            0.045786,            0.018805,            0.024464,            0.007426,            0.007426,            0.007426
                  15,            0.045494,            0.035143,            0.025895,               0.861,             0.64751,             0.77879,              0.4501,             0.03722,            0.019186,            0.023396,            0.007228,            0.007228,            0.007228
                  16,            0.044399,            0.034617,            0.024015,             0.79423,              0.6836,             0.76543,             0.43434,            0.038844,            0.018335,            0.021582,             0.00703,             0.00703,             0.00703
                  17,            0.042388,            0.033617,             0.02258,             0.91283,             0.70847,             0.85065,              0.5177,            0.037576,            0.018087,             0.02038,            0.006832,            0.006832,            0.006832
                  18,            0.041736,            0.033101,            0.020585,             0.74139,             0.81288,             0.79577,             0.49866,            0.040052,            0.018095,            0.019094,            0.006634,            0.006634,            0.006634
                  19,            0.040367,            0.032983,            0.019814,             0.85802,             0.80749,             0.87666,             0.53274,            0.035901,            0.017843,             0.01772,            0.006436,            0.006436,            0.006436
                  20,            0.039902,             0.03289,            0.018686,             0.75841,             0.81777,             0.85424,             0.50489,            0.040202,            0.018412,            0.017126,            0.006238,            0.006238,            0.006238
                  21,             0.04013,             0.03127,            0.017245,              0.8513,             0.82066,             0.88414,             0.56922,            0.034305,             0.01746,            0.016212,             0.00604,             0.00604,             0.00604
                  22,            0.038574,            0.031232,            0.016174,             0.84521,             0.82242,             0.86958,             0.51169,            0.036656,            0.017874,            0.015435,            0.005842,            0.005842,            0.005842
                  23,            0.038616,            0.032928,            0.016038,             0.89226,             0.83479,             0.89305,             0.59641,             0.03321,            0.017385,            0.014771,            0.005644,            0.005644,            0.005644
                  24,            0.037862,            0.032353,            0.014882,             0.85986,             0.84277,             0.89962,             0.58889,            0.036237,            0.017546,            0.014316,            0.005446,            0.005446,            0.005446
                  25,            0.036165,            0.030688,            0.014024,             0.95174,             0.80082,              0.9161,             0.62105,            0.031768,            0.017073,             0.01394,            0.005248,            0.005248,            0.005248
                  26,            0.036607,            0.032178,            0.013463,             0.95911,             0.80302,             0.91963,             0.62231,            0.031973,            0.016977,            0.013545,             0.00505,             0.00505,             0.00505
                  27,            0.035201,            0.032394,             0.01318,              0.8969,             0.83319,             0.92632,             0.62507,            0.031919,            0.016939,            0.013359,            0.004852,            0.004852,            0.004852
                  28,             0.03445,            0.033204,            0.013047,             0.91321,             0.82102,             0.91937,             0.61114,             0.03313,            0.016973,            0.012784,            0.004654,            0.004654,            0.004654
                  29,            0.034655,            0.031736,            0.012266,              0.8987,             0.83655,             0.93174,             0.62738,            0.029863,            0.016586,            0.012509,            0.004456,            0.004456,            0.004456
                  30,            0.033686,            0.033683,            0.012355,             0.87376,             0.84788,             0.92979,             0.64523,            0.032192,            0.016994,            0.012543,            0.004258,            0.004258,            0.004258
                  31,            0.033485,            0.031081,            0.012017,             0.89058,             0.85939,             0.92754,             0.65372,             0.02875,            0.016758,            0.012405,             0.00406,             0.00406,             0.00406
                  32,            0.032446,            0.029698,            0.011606,             0.88918,             0.85807,             0.93308,             0.65484,            0.030992,            0.016973,            0.012584,            0.003862,            0.003862,            0.003862
                  33,            0.031322,            0.030322,            0.010927,             0.89554,             0.85574,             0.92872,             0.66197,            0.029159,            0.017065,            0.012175,            0.003664,            0.003664,            0.003664
                  34,            0.031064,            0.029324,            0.010646,             0.87711,             0.88478,             0.93158,             0.67025,            0.029513,            0.017094,            0.012047,            0.003466,            0.003466,            0.003466
                  35,             0.03116,            0.029644,            0.011193,             0.88138,             0.88345,               0.936,             0.66756,            0.027937,            0.016678,            0.011732,            0.003268,            0.003268,            0.003268
                  36,            0.030723,            0.030299,            0.010465,             0.89503,              0.8778,             0.93145,             0.66748,            0.027825,            0.016708,             0.01147,             0.00307,             0.00307,             0.00307
                  37,            0.029547,             0.02762,            0.010245,             0.89393,             0.89309,             0.93249,             0.68921,            0.027193,            0.016571,            0.011591,            0.002872,            0.002872,            0.002872
                  38,            0.029375,            0.029719,            0.010046,             0.88789,             0.90166,              0.9315,             0.67832,            0.027267,            0.016565,             0.01199,            0.002674,            0.002674,            0.002674
                  39,            0.028457,            0.028748,           0.0098074,             0.88237,             0.89208,             0.92752,             0.67579,            0.026939,            0.016361,            0.011652,            0.002476,            0.002476,            0.002476
